"Standard","Standard"
"Minimal","Minimal"
"Optional","Optional"
"Required","Erforderlich"
"Hidden","Verborgen"
"The fire checkout is disabled.","Die Checkout-Kasse ist deaktiviert."
"Fire Checkout Section","Abschnitt Checkout-Kasse"
"Fire Checkout","Checkout-Kasse"
"Default Shipping Method","Vorgegebene Versandart"
"Default Payment Method","Vorgegebene Zahlungsmethode"
"Default Country","Vorgegebenes Land"
"GeoIP","GeoIP"
"Enable Country Detection","Ländererkennung aktivieren"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","Die Datei unter dem Ordner 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' <a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCountry/GeoIP.dat.gz' title='Download GeoIP database'>herunterladen</a> und dekomprimieren, falls Sie sie noch nicht haben"
"Enable Country, City, Postcode detection","Länder-,Städte- und PLZ-Erkennung aktivieren"
"<a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>Download</a> and unzip file under the 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' folder if you don't have it","Die Datei unter dem Ordner 'MAGETO_ROOT/lib/MaxMind/GeoIP/data' <a href='http://geolite.maxmind.com/download/geoip/database/GeoLiteCity.dat.gz' title='Download GeoCity database'>herunterladen</a> und dekomprimieren, falls Sie sie noch nicht haben"
"Show Shipping Address Form","Formular für Versandadresse anzeigen"
"Show Subscribe to Newsletter Checkbox","Das Kontrollkästchen für das Newsletter-Abonnement anzeigen"
"Address Form Fields","Felder des Adressformulars"
"Before changing some of the fields, be sure that your payment/shipping provider does not require them","Bevor Sie Felder ändern, stellen Sie sicher, dass Ihr Zahlungs-/Versanddienstleister diese nicht vorschreibt"
"Output Type","Ausgabeart"
"Create account for later use","Erstelle ein Konto (Sendungsverfolgung usw.)"
"Checkout Review","Kassenübersicht"
"Already registered? Login into your account","Bereits registriert? Melden Sie sich bei Ihrem Konto an"
"Show Comment Field","Kommentarfeld anzeigen"
"Guest checkout is allowed","Einkauf ohne Registrierung wird zugelassen"
"Registration is required","Registrierung ist erforderlich"
"User is registered during checkout without prompting a password","Der Nutzer wird während des Bezahlvorgangs registriert, ohne dass ein Passwort angefordert wird"
"Registration mode","Registriermodus"
"Show Discount Coupon Field","Rabattcouponfeld anzeigen"
"Firecheckout on Mobile Devices","Schnellkasse auf mobilen Geräten"
"Enable Region Detection","Regionenerkennung aktivieren"
"GeoIp filename","GeoIP Dateiname"
"GeoIPRegion filename","GeoIPRegion Dateiname"
"GeoCity filename","GeoCity Dateiname"
