"Gugliotti News", "Gugliotti News"
"General Configuration", "General Configuration"
"Enabled", "Enabled"
"Is this module enabled?", "Is this module enabled?"
"Latest News List", "Latest News List"
"Displays a list of latest news on desired position", "Displays a list of latest news on desired position"
"Number of news to be displayed", "Number of news to be displayed"
"Latest News", "Latest News"
"Read More", "Read More"
"There are no stories matching the selection.", "There are no stories matching the selection."
"There are no categories matching the selection.", "There are no categories matching the selection."
"Is the log enabled? Remember that logging must be enabled also on Developer tab, here on System > Configuration menu.", "Is the log enabled? Remember that logging must be enabled also on Developer tab, here on System > Configuration menu."
"Log file", "Log file"
"Inform the log file named, which will be created on /var/log folder on the server.", "Inform the log file named, which will be created on /var/log folder on the server."
